City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,fort st. john,56.2499,-120.8529,49.89,37,100,6.91,CA,1712874675
325,egilsstadir,65.2653,-14.3948,31.91,100,100,5.75,IS,1712874874
326,leticia,-4.2153,-69.9406,84.25,84,20,3.44,CO,1712874874
327,mocimboa,-11.3167,40.35,79.05,88,100,5.46,MZ,1712874875
328,goundi,9.3627,17.366,92.84,31,83,4.32,TD,1712874876
329,turkmenbasy,40.0222,52.9552,56.17,76,0,9.22,TM,1712874877
330,barysh,53.6553,47.1123,54.46,94,100,5.19,RU,1712874735
331,bardai,11.65,7.2333,83.1,10,94,9.26,NG,1712874878
332,mersing,2.4312,103.8405,80.51,89,40,6.91,MY,1712874879
333,ulsteinvik,62.3432,5.8487,52.7,89,85,13.87,NO,1712874880
334,cururupu,-1.8283,-44.8683,76.08,96,61,1.41,BR,1712874880
335,taksimo,56.3444,114.8794,30.07,83,99,1.32,RU,1712874881
336,calais,50.9167,1.8333,56.05,94,93,14.79,FR,1712874882
337,fort william,56.8165,-5.1121,51.31,95,100,4.81,GB,1712874882
338,kutum,14.2,24.6667,73.29,14,8,8.72,SD,1712874883
339,brookings,44.3114,-96.7984,53.94,54,75,24.16,US,1712874857
340,steinbach,50.1667,8.5667,53.19,72,0,1.14,DE,1712874773
341,ciudad lazaro cardenas,17.9583,-102.2,81.14,63,0,8.25,MX,1712874802
342,colonia,50.9333,6.95,58.28,82,100,1.14,DE,1712874886
343,tadine,-21.55,167.8833,75.49,75,100,8.48,NC,1712874887
344,lapeer,43.0514,-83.3188,54.95,100,100,9.22,US,1712874598
345,challapata,-18.9,-66.7667,54.7,62,77,2.8,BO,1712874888
346,izberbash,42.5696,47.8645,51.85,59,47,4.97,RU,1712874889
347,wolfsburg,52.4333,10.8,58.08,86,100,5.93,DE,1712874600
348,al kharijah,25.4514,30.5464,69.55,31,91,7.94,EG,1712874733
349,bairnsdale,-37.8333,147.6167,57.06,94,0,4.59,AU,1712874891
350,tazacorte,28.629,-17.9293,74.37,46,100,10.36,ES,1712874892
351,bengkulu,-3.8004,102.2655,76.28,94,100,3.6,ID,1712874893
352,yanchep,-31.55,115.6833,62.73,64,5,7.47,AU,1712874894
353,svislach,53.6404,27.9199,44.85,66,82,7.36,BY,1712874895
354,nantucket,41.2835,-70.0995,53.74,99,100,14.97,US,1712874896
355,san lawrenz,36.0553,14.204,60.21,78,92,16.55,MT,1712874897
356,sabang,5.8933,95.3214,85.5,72,98,16.26,ID,1712874897
357,rawlins,41.7911,-107.2387,59.36,12,0,16.11,US,1712874898
358,ystad,55.4297,13.8204,53.29,97,79,16.2,SE,1712874899
359,portland,45.5234,-122.6762,64.33,42,75,8.99,US,1712874598
360,'ali sabieh,11.1558,42.7125,77.13,79,10,6.76,DJ,1712874900
361,tafuna,-14.3358,-170.72,89.55,74,40,4.61,AS,1712874902
